iter	Quantile:alpha=0.5	Quantile:alpha=0.5	MSE
0	0.4302736574	0.3165075266	0.7559010635
1	0.3596181773	0.414517053	0.5770472109
2	0.2904299837	0.5365455593	0.4704552537
3	0.2200319811	0.6899066024	0.4281688386
4	0.2333058033	0.8816045577	0.4555120442
5	0.196783321	0.7669954281	0.4493293612
6	0.217086204	0.9349467995	0.4863688298
7	0.1861657473	0.8008995296	0.4890811369
8	0.2061620522	0.9801108735	0.5355125198
9	0.1914192684	0.7870637399	0.5011511875
10	0.202213112	0.9476792852	0.5189298661
11	0.1914121222	0.8158554834	0.5216802478
12	0.205494868	0.9230303417	0.4962342177
13	0.1885313357	0.8304211284	0.5110070512
14	0.2023854303	0.9471570881	0.5330863223
15	0.1935415249	0.8233217504	0.5160603529
16	0.1983828557	0.9075677895	0.5067512282
17	0.1959614752	0.7961212028	0.5042456721
18	0.1930524196	0.9525099517	0.5346928298
19	0.1971132232	0.7902472186	0.5065470624
20	0.1938306732	0.9420368519	0.5287749121
21	0.2001226884	0.7850435595	0.5039233699
22	0.1880372524	0.9359613717	0.5237524577
23	0.1969486239	0.7948595635	0.5064327965
24	0.187642118	0.9370732673	0.5265319548
25	0.2006434214	0.7828441307	0.5103604708
26	0.184895052	0.926031972	0.5229282956
27	0.200082128	0.8075384391	0.5216883232
28	0.1871041709	0.9060085759	0.5193842331
29	0.200050454	0.8043288469	0.520389632
30	0.1840982529	0.9213968698	0.5281637443
31	0.2006568955	0.7934150074	0.5166814045
32	0.1861157325	0.9267162081	0.5253213578
33	0.1996890956	0.7974798112	0.51655415
34	0.1859698493	0.9070435531	0.5136823121
35	0.2001035712	0.7855577425	0.5097653378
36	0.1860192522	0.9158653945	0.5182963877
37	0.1985730306	0.8100746514	0.5252735756
38	0.1869862949	0.8910122374	0.5073895029
39	0.1974427166	0.8128675275	0.5255649074
40	0.1855160121	0.8985964393	0.5098573479
41	0.1982394277	0.8156138108	0.5258325567
42	0.1859867707	0.9088092053	0.5159956555
43	0.2006869749	0.7963820993	0.5167152268
44	0.185555435	0.9165534797	0.5207518708
45	0.2016158355	0.8018439049	0.5224961279
46	0.1863861463	0.9219013597	0.5286205788
47	0.201537376	0.8005217204	0.5252149942
48	0.184644476	0.908765794	0.5202394708
49	0.2006039337	0.7910474577	0.5201504306
50	0.1843076161	0.9247578708	0.5241981796
51	0.2005297092	0.7852524365	0.5078209093
52	0.1836515766	0.9214172057	0.5201642268
53	0.2006451299	0.7955293786	0.5163880675
54	0.1855098947	0.9162642685	0.5181292891
55	0.2001145569	0.7961777421	0.5164992093
56	0.1849336827	0.9295413944	0.526531571
57	0.1993153313	0.8016778367	0.522999833
58	0.1854938877	0.9167725735	0.5220905664
59	0.1969804663	0.8071932772	0.5216797142
60	0.1871642742	0.9306423974	0.5244798688
61	0.1974273978	0.7955842941	0.5136752873
62	0.1865244416	0.9282450718	0.5217987675
63	0.1971723351	0.7966173031	0.5125922776
64	0.1870387798	0.9379333386	0.5256913927
65	0.1965866567	0.7974394368	0.5114967481
66	0.1878654396	0.937688188	0.5236571217
67	0.1959217438	0.7998544645	0.5116807348
68	0.1882036585	0.9405631068	0.5250333391
69	0.1968796355	0.7951627389	0.5107689084
70	0.1871346598	0.9348305375	0.5226434938
71	0.1933196248	0.8050769721	0.5108838918
72	0.1888507445	0.9386045046	0.5217338564
73	0.1955314258	0.8045812434	0.5164699896
74	0.1869926202	0.9360309088	0.5247803449
75	0.195375172	0.8073285748	0.5159073378
76	0.1873241747	0.9324564183	0.5210362055
77	0.1964893895	0.8064576441	0.5165711113
78	0.1852393874	0.9225087272	0.5177171111
79	0.1942861364	0.8140465938	0.5148366354
80	0.1855389989	0.9256615827	0.5182161422
81	0.1953647343	0.8146360668	0.5190669697
82	0.1846603794	0.9236740712	0.5181599765
83	0.1945053218	0.8179713102	0.518725657
84	0.1864099384	0.9199512884	0.5147593252
85	0.1946455825	0.8214940753	0.5199726731
86	0.1851380259	0.9165410551	0.5134236438
87	0.1939717219	0.8198546606	0.5172440381
88	0.1839408596	0.9309964992	0.5223888574
89	0.195400295	0.8103368411	0.5147741547
90	0.185050388	0.9310166579	0.5216684727
91	0.194943432	0.8055418095	0.5116918842
92	0.1839990712	0.9285978539	0.5230102264
93	0.1953325866	0.8118657684	0.5149322227
94	0.1830246135	0.9286832688	0.5230174868
95	0.1946371813	0.8153492866	0.5166009594
96	0.1840086924	0.9326864221	0.5248299704
97	0.1922156635	0.8193161384	0.5174753912
98	0.1866126235	0.9429341579	0.5243927155
99	0.1924709477	0.8174149668	0.512903182
100	0.1855171957	0.9368990694	0.5213629824
101	0.1903048383	0.820257748	0.511416881
102	0.185918572	0.9394636902	0.5219521608
103	0.1904154328	0.8242855337	0.5136797388
104	0.1864226127	0.93959628	0.5213477687
105	0.1899267736	0.8210429211	0.5099100092
106	0.1854446202	0.9394580857	0.522220546
107	0.1899095013	0.8265244862	0.5136381949
108	0.1863100098	0.9424402128	0.5213078369
109	0.1901093839	0.8244226569	0.5128087239
110	0.1859105853	0.941302492	0.5212413929
111	0.189907403	0.822636365	0.5105113312
112	0.1858772764	0.9393503585	0.5209096521
113	0.1901865099	0.8221698169	0.5108014227
114	0.1856788901	0.9379536229	0.5200369873
115	0.1899081473	0.8258022803	0.5109303332
116	0.1855533692	0.9380322438	0.5187036304
117	0.1896341127	0.8237729844	0.5100226621
118	0.1864619729	0.9410384264	0.5190452135
119	0.187737442	0.8251745849	0.5069671268
120	0.1862501101	0.9400022707	0.5188717552
121	0.1871128038	0.8270113672	0.5080942326
122	0.1871242178	0.9402588607	0.5197809761
123	0.1862512656	0.8342532505	0.5086290354
124	0.1864798642	0.9370526642	0.5183112039
125	0.1877898604	0.8295188493	0.5084660607
126	0.1853416753	0.9314964394	0.5155734731
127	0.1878002076	0.8320245894	0.5074352279
128	0.1845606776	0.9287720012	0.5149137646
129	0.1870242897	0.8308524962	0.5063916706
130	0.186738321	0.9387450893	0.5196767714
131	0.187080807	0.8347932222	0.5058432996
132	0.1856105675	0.9361071216	0.5171424051
133	0.1851253574	0.8391895867	0.5054252491
134	0.1869129157	0.934693374	0.5191978951
135	0.1867683348	0.8399687908	0.5071844046
136	0.1874824411	0.9406569593	0.5219821101
137	0.186161621	0.838200002	0.5082108978
138	0.1873199102	0.9393826329	0.5222304668
139	0.1858371696	0.8445920984	0.5084959772
140	0.1863738753	0.9277404765	0.5181435032
141	0.1861880725	0.8493607285	0.5107318336
142	0.1867865698	0.9187682237	0.5134271779
143	0.1852186297	0.8601815169	0.5111406135
144	0.1864657	0.9168285974	0.5121850161
145	0.1857800803	0.8576835905	0.5116049661
146	0.1874218034	0.9191499641	0.5116598419
147	0.1866196163	0.8617430528	0.5106412456
148	0.1874288133	0.9189524013	0.5134213203
149	0.1850953978	0.8646716707	0.5110976951
150	0.1881671051	0.9137626283	0.5105706782
151	0.1854820454	0.8701207003	0.5099235677
152	0.1870409236	0.9096792626	0.5096553335
153	0.1863583599	0.8675405564	0.5092734791
154	0.1851595112	0.9090975151	0.5099844265
155	0.1865374412	0.8684395278	0.5103207545
156	0.1848306844	0.9072730385	0.5117052986
157	0.1861292669	0.8700363261	0.5084286135
158	0.1853027291	0.9039437096	0.5119323763
159	0.1854123021	0.8770021324	0.509469496
160	0.185686463	0.8921817386	0.5084469528
161	0.1857751382	0.8771517704	0.5100902531
162	0.1866091045	0.9043455437	0.5110400947
163	0.1857439204	0.8714607397	0.5089036969
164	0.1863452575	0.895309317	0.5126010324
165	0.1865980276	0.8815974921	0.5101177864
166	0.1860169883	0.8964583472	0.5125447685
167	0.1861173755	0.8793311225	0.510297128
168	0.1870488441	0.8972364359	0.5120481061
169	0.186048702	0.881832615	0.5105411338
170	0.1862681709	0.8887473558	0.5105868727
171	0.1865308048	0.8801656916	0.5085666693
172	0.1866682517	0.8931501784	0.5094335465
173	0.1867949781	0.879296641	0.5078247278
174	0.1862466555	0.8913616772	0.50939963
175	0.1865419591	0.8789103288	0.50991016
176	0.1862900725	0.8988069196	0.5116977746
177	0.1859296585	0.8825748395	0.5104090017
178	0.1858597938	0.8941050491	0.5101166298
179	0.1858649822	0.8877366938	0.5101555865
180	0.1857884651	0.8929325243	0.5096007239
181	0.1859460344	0.8869613407	0.5100851415
182	0.1859043032	0.8954400489	0.5113745912
183	0.1857270205	0.8867298276	0.510484744
184	0.1858340804	0.8927531842	0.5117723627
185	0.1858969751	0.8860149302	0.5113123122
186	0.1857508644	0.8930502162	0.5118129579
187	0.1857653781	0.8875555483	0.5112369255
188	0.1856822325	0.8912182146	0.5118996981
189	0.1856814424	0.8876234445	0.5080603831
190	0.1856679809	0.8883223925	0.509869988
191	0.1855239419	0.8903650785	0.5110388311
192	0.1854586162	0.8901590225	0.509980619
193	0.1855605982	0.8881334646	0.5103099892
194	0.1855684058	0.8851594525	0.5092391131
195	0.1860411682	0.8949978053	0.5115397356
196	0.1860103512	0.8804957005	0.509000588
197	0.1859567721	0.8957178426	0.5109306169
198	0.1860170852	0.8811592753	0.5091381313
199	0.1860168775	0.8954963706	0.5105713293
200	0.1858603401	0.878904998	0.5082400974
201	0.1857600109	0.8972549787	0.5100410328
202	0.1858228393	0.8780077553	0.5083065493
203	0.1856451378	0.8983222601	0.5103243215
204	0.1859228465	0.877536793	0.5074191728
205	0.1859773943	0.8970852318	0.509738689
206	0.1860061701	0.8786363437	0.5078026081
207	0.1862790805	0.8949420016	0.5101856184
208	0.1861378562	0.8832146732	0.5085180125
209	0.1862894082	0.8931347412	0.508680044
210	0.1860998016	0.8843524739	0.5088972883
211	0.1860896994	0.8940812575	0.5093698232
212	0.1858626434	0.8818348845	0.5082238898
213	0.1858094374	0.8910051656	0.508708218
214	0.1858512712	0.8841459063	0.5070433419
215	0.1858892674	0.8917366267	0.5083424093
216	0.1859558328	0.8834941353	0.5053200737
217	0.1858965079	0.8895300632	0.5083001904
218	0.185780249	0.8854972356	0.5071162477
219	0.1857941917	0.8888604412	0.5075113665
220	0.1859597831	0.8856473976	0.5075193943
221	0.1859077936	0.8910212158	0.508264579
222	0.1858417847	0.8898826952	0.5090085555
223	0.1858002604	0.8895018218	0.5081211156
224	0.1857727951	0.887284278	0.5071041628
225	0.1857391625	0.8892460945	0.5090565913
226	0.1857475257	0.8875858036	0.5079105923
227	0.185692471	0.8900585743	0.5098259351
228	0.1856039376	0.8889368034	0.5078589856
229	0.1855607453	0.8888179746	0.5075736869
230	0.1852015981	0.8885712421	0.506196226
231	0.1852548354	0.8889226384	0.5051794756
232	0.1852119819	0.8869650064	0.5055750671
233	0.185187973	0.8872810795	0.5066291092
234	0.1851393414	0.8886190698	0.5049877744
235	0.1850908229	0.8867418951	0.5057559828
236	0.1850775784	0.8900169024	0.5064441933
237	0.1850140262	0.8880530792	0.5052566833
238	0.1849655079	0.8887193009	0.5065897924
239	0.1848959428	0.8898597241	0.5052999192
240	0.1847977526	0.8868589277	0.506689816
241	0.1847931299	0.8917187537	0.5054469464
242	0.1847598841	0.8872905683	0.5059130411
243	0.1847212488	0.8917791528	0.5057200238
244	0.1846620913	0.887617633	0.5057310429
245	0.1845439447	0.8927551602	0.5067870241
246	0.1845809364	0.8865786874	0.5045184196
247	0.184444321	0.8936037053	0.5064375772
248	0.1843078028	0.8869884793	0.5040877418
249	0.1842970335	0.8932270525	0.5053734452
250	0.1842235291	0.8856776411	0.5034847891
251	0.1842317369	0.8925280692	0.5034341816
252	0.1841047837	0.8856508697	0.5029386435
253	0.1840325459	0.8923158304	0.5034611449
254	0.1840655166	0.887875457	0.5020216677
255	0.1838510581	0.8894220946	0.5006877596
256	0.1838734324	0.8862913665	0.5006392517
257	0.183944422	0.8906310224	0.501013199
258	0.1840107051	0.8866724771	0.5008306249
259	0.1841291515	0.8925455767	0.5010508717
260	0.1840080267	0.8841002883	0.5012727496
261	0.1839497199	0.8916179337	0.5014684807
262	0.1838223718	0.8856968543	0.5014018968
263	0.1837589705	0.8912133198	0.5022830604
264	0.1837014244	0.8891697754	0.5028711026
265	0.1836249493	0.8895373675	0.5004971149
266	0.1835901667	0.887342115	0.5001247956
267	0.1835681626	0.8881694466	0.500209026
268	0.183502924	0.8885864119	0.5000172675
